# range of table (0,6.26256)
1.89129 0.949079 -0.31502 -0.948121
1.89756 0.947088 -0.320957 -0.947726
1.90382 0.945059 -0.32689 -0.946454
1.91008 0.942993 -0.332808 -0.943745
1.91634 0.940891 -0.33871 -0.941037
1.92261 0.938751 -0.344595 -0.938199
1.92887 0.936575 -0.350461 -0.935272
1.93513 0.934362 -0.356309 -0.932346
1.94139 0.932112 -0.362145 -0.931992
1.94766 0.929826 -0.367983 -0.932249
1.95392 0.927503 -0.373822 -0.932386
1.96018 0.925144 -0.379645 -0.927203
1.96644 0.922748 -0.385435 -0.92202
1.97271 0.920316 -0.391194 -0.917884
1.97897 0.917848 -0.39694 -0.917122
1.98523 0.915344 -0.402681 -0.91636
1.99149 0.912804 -0.408414 -0.913268
1.99776 0.910229 -0.414115 -0.907342
2.00402 0.907618 -0.419779 -0.901417
2.01028 0.904971 -0.425418 -0.901586
2.01654 0.902289 -0.431074 -0.904816
2.02281 0.899572 -0.436751 -0.908046
2.02907 0.896819 -0.442423 -0.902277
2.03533 0.894031 -0.448052 -0.895284
2.04159 0.891207 -0.453636 -0.888615
2.04786 0.888349 -0.45919 -0.885044
2.05412 0.885456 -0.464722 -0.881474
2.06038 0.882528 -0.470232 -0.87902
2.06664 0.879566 -0.475737 -0.87906
2.07291 0.876569 -0.481242 -0.8791
2.07917 0.873538 -0.486745 -0.877198
2.08543 0.870473 -0.492227 -0.87353
2.0917 0.867373 -0.497686 -0.869863
2.09796 0.864239 -0.503117 -0.864027
2.10422 0.861072 -0.508507 -0.857423
2.11048 0.85787 -0.513856 -0.850818
2.11675 0.854636 -0.519188 -0.852194
2.12301 0.851368 -0.52453 -0.853967
2.12927 0.848066 -0.529883 -0.854179
2.13553 0.844731 -0.535208 -0.846614
2.1418 0.841362 -0.540487 -0.839049
2.14806 0.837961 -0.545721 -0.834437
2.15432 0.834527 -0.550947 -0.834611
2.16058 0.83106 -0.556175 -0.834785
2.16685 0.827561 -0.561395 -0.830512
2.17311 0.824029 -0.566573 -0.823225
2.17937 0.820465 -0.571706 -0.815938
2.18563 0.816868 -0.576809 -0.815093
2.1919 0.81324 -0.581916 -0.815754
2.19816 0.80958 -0.587027 -0.816159
2.20442 0.805888 -0.592108 -0.806647
2.21068 0.802164 -0.59713 -0.797134
2.21695 0.798409 -0.602094 -0.790379
2.22321 0.794622 -0.60705 -0.792376
2.22947 0.790805 -0.612019 -0.794374
2.23573 0.786957 -0.616995 -0.792942
2.242 0.783077 -0.621944 -0.787387
2.24826 0.779167 -0.626857 -0.781833
2.25452 0.775226 -0.631733 -0.774582
2.26078 0.771255 -0.636558 -0.76649
2.26705 0.767253 -0.641333 -0.758398
2.27331 0.763222 -0.646083 -0.759686
2.27957 0.759161 -0.650849 -0.762217
2.28583 0.75507 -0.65563 -0.763613
2.2921 0.750949 -0.660383 -0.754502
2.29836 0.746799 -0.66508 -0.745391
2.30462 0.742619 -0.669722 -0.738661
2.31088 0.73841 -0.674343 -0.737183
2.31715 0.734173 -0.678955 -0.735704
2.32341 0.729906 -0.683554 -0.731735
2.32967 0.725611 -0.688117 -0.725526
2.33593 0.721288 -0.692641 -0.719317
2.3422 0.716936 -0.697134 -0.716228
2.34846 0.712556 -0.701613 -0.714229
2.35472 0.708148 -0.706079 -0.712231
2.36099 0.703712 -0.710519 -0.705423
2.36725 0.699249 -0.714915 -0.698391
2.37351 0.694758 -0.719267 -0.691659
2.37977 0.69024 -0.723582 -0.686394
2.38604 0.685695 -0.727864 -0.681129
2.3923 0.681124 -0.732115 -0.677803
2.39856 0.676525 -0.736359 -0.677581
2.40482 0.671901 -0.740602 -0.67736
2.41109 0.667249 -0.744835 -0.672477
2.41735 0.662571 -0.749021 -0.66447
2.42361 0.657868 -0.753157 -0.656464
2.42987 0.653138 -0.757253 -0.652411
2.43614 0.648383 -0.761329 -0.649266
2.4424 0.643602 -0.765385 -0.645993
2.44866 0.638797 -0.769407 -0.638268
2.45492 0.633966 -0.77338 -0.630543
2.46119 0.62911 -0.777306 -0.624364
2.46745 0.62423 -0.781212 -0.623017
2.47371 0.619325 -0.785109 -0.62167
2.47997 0.614396 -0.788994 -0.617228
2.48624 0.609443 -0.792834 -0.609105
2.4925 0.604466 -0.796623 -0.600982
2.49876 0.599465 -0.80037 -0.59727
2.50502 0.594441 -0.804106 -0.595718
2.51129 0.589394 -0.807832 -0.594166
2.51755 0.584323 -0.811535 -0.587873
2.52381 0.579229 -0.815195 -0.580968
2.53007 0.574113 -0.818811 -0.574132
2.53634 0.568974 -0.822387 -0.567911
2.5426 0.563812 -0.825925 -0.561689
